lon,lat,age (Ma),Cu (Mt),source,label
131.55,-13.54,1863.0,0.0034,Huston_2024,positive
149.19,-33.28,420.0,0.0087,Huston_2024,positive
134.86,-23.12,1765.0,0.125,Huston_2024,positive
149.42,-34.11,420.0,0.0078,Huston_2024,positive
149.89,-33.29,420.0,0.0069,Huston_2024,positive
149.46,-34.81,423.0,0.0075,Huston_2024,positive
-68.45916667,-54.85833333,170.0,0.0195,Mosier_2009,positive
-69.41666667,-31.33333333,470.0,,Mosier_2009,positive
44.76833333,41.14861111,165.0,,Mosier_2009,positive
44.60861111,41.04166667,165.0,,Mosier_2009,positive
44.32944444,40.98888889,85.0,,Mosier_2009,positive
44.68777778,41.20138889,165.0,,Mosier_2009,positive
149.5863889,-35.04166667,430.0,0.0066,Mosier_2009,positive
149.5125,-34.9875,430.0,0.016,Mosier_2009,positive
146.8688889,-31.25722222,510.0,0.14478,Mosier_2009,positive
152.0311111,-30.765,270.0,0.0005,Mosier_2009,positive
146.85,-31.22916667,510.0,,Mosier_2009,positive
149.2513889,-33.26833333,435.0,,Mosier_2009,positive
146.8472222,-31.22361111,510.0,,Mosier_2009,positive
144.7,-18.78611111,507.0,0.031,Mosier_2009,positive
146.2019444,-20.36555556,500.0,0.2294,Mosier_2009,positive
146.0619444,-20.39611111,500.0,0.01,Mosier_2009,positive
146.2036111,-20.37138889,510.0,0.075,Mosier_2009,positive
144.7111111,-18.77638889,510.0,,Mosier_2009,positive
145.7697222,-20.34055556,500.0,0.172938,Mosier_2009,positive
145.6255556,-41.73027778,502.0,0.001971,Mosier_2009,positive
145.5866667,-42.06444444,502.0,3.12,Mosier_2009,positive
145.54,-41.77361111,502.0,0.16974,Mosier_2009,positive
142.8666667,-37.30722222,518.0,0.027,Mosier_2009,positive
127.4888889,-18.44166667,2500.0,0.011271,Mosier_2009,positive
120.3477778,-21.60805556,3200.0,0.00145,Mosier_2009,positive
121.7697222,-28.97666667,3200.0,0.004505,Mosier_2009,positive
118.6833333,-28.75,3200.0,0.0016,Mosier_2009,positive
116.965,-28.77916667,2938.0,0.5536000000000001,Mosier_2009,positive
116.9436111,-28.74472222,2938.0,,Mosier_2009,positive
118.6216667,-25.36166667,1800.0,0.0564869999999999,Mosier_2009,positive
121.7827778,-28.95444444,3200.0,,Mosier_2009,positive
127.6166667,-16.735,1800.0,0.0092,Mosier_2009,positive
119.27,-21.23083333,3200.0,0.0018,Mosier_2009,positive
119.2375,-21.20777778,3240.0,0.0102,Mosier_2009,positive
119.2333333,-21.2,3257.0,0.1166,Mosier_2009,positive
116.9275,-21.07916667,3200.0,0.045732,Mosier_2009,positive
-70.35,-26.59027778,145.0,0.015,Mosier_2009,positive
-69.83333333,-26.66666667,145.0,0.8415,Mosier_2009,positive
88.47972222,47.71055556,400.0,,Mosier_2009,positive
86.04833333,48.33027778,371.0,1.215,Mosier_2009,positive
113.4333333,42.35,288.0,0.04992,Mosier_2009,positive
125.1666667,43.46666667,445.0,0.0,Mosier_2009,positive
99.53333333,31.18333333,217.0,0.1848,Mosier_2009,positive
99.3,31.56666667,217.0,0.0603,Mosier_2009,positive
100.2361111,38.19416667,515.0,0.04361,Mosier_2009,positive
101.0916667,37.37,445.0,0.13542,Mosier_2009,positive
105.95,35.33333333,445.0,0.1118,Mosier_2009,positive
89.19833333,47.35277778,373.0,0.05136,Mosier_2009,positive
101.9486111,37.52222222,480.0,0.033,Mosier_2009,positive
99.73333333,22.75,300.0,0.0,Mosier_2009,positive
118.3333333,27.39166667,570.0,,Mosier_2009,positive
103.7,36.78333333,515.0,0.01824,Mosier_2009,positive
104.2,36.6,515.0,0.12,Mosier_2009,positive
88.3,47.81666667,407.0,,Mosier_2009,positive
99.9,24.23333333,300.0,0.01122,Mosier_2009,positive
99.68333333,35.43333333,250.0,0.5,Mosier_2009,positive
99.56666667,31.25,233.0,0.0852799999999999,Mosier_2009,positive
99.51111111,38.8075,515.0,0.02952,Mosier_2009,positive
89.5225,42.28055556,345.0,0.15,Mosier_2009,positive
104.1333333,36.61666667,445.0,0.33138,Mosier_2009,positive
128.9666667,47.35,530.0,0.0,Mosier_2009,positive
95.55,37.31666667,445.0,0.0,Mosier_2009,positive
104.2166667,36.65,515.0,1.1589999999999998,Mosier_2009,positive
-76.32,7.4,80.0,0.0672,Mosier_2009,positive
-76.42,6.1,80.0,0.0564,Mosier_2009,positive
-75.54,7.74,80.0,0.504,Mosier_2009,positive
-76.63333333,4.583333333,80.0,0.005,Mosier_2009,positive
-75.73,5.67,80.0,0.0139999999999999,Mosier_2009,positive
-133.5452778,58.66694444,270.0,,Mosier_2009,positive
-129.8511111,55.3925,240.0,0.016544,Mosier_2009,positive
-123.1416667,49.61111111,150.0,0.5643,Mosier_2009,positive
-120.0616667,51.38083333,320.0,0.14,Mosier_2009,positive
-129.8763889,55.4125,240.0,,Mosier_2009,positive
-129.8847222,55.42305556,170.0,0.00299,Mosier_2009,positive
-130.4297222,56.65333333,175.0,,Mosier_2009,positive
-118.4258333,51.62916667,510.0,0.07875,Mosier_2009,positive
-130.345,56.21111111,180.0,0.4475,Mosier_2009,positive
-119.8177778,51.51944444,370.0,0.384,Mosier_2009,positive
-129.8241667,55.43916667,240.0,0.5770599999999999,Mosier_2009,positive
-119.8277778,51.11111111,390.0,,Mosier_2009,positive
-128.36,58.20527778,243.0,0.4218499999999999,Mosier_2009,positive
-119.8125,51.14916667,390.0,0.0013679999999999,Mosier_2009,positive
-119.8130556,51.15944444,390.0,,Mosier_2009,positive
-129.8869444,55.38055556,240.0,0.0036,Mosier_2009,positive
-119.8094444,51.14444444,390.0,0.00504,Mosier_2009,positive
-121.9466667,49.31694444,170.0,,Mosier_2009,positive
